,demand
268,-1073514
269,-1110017
270,-1139759
271,-1156214
272,-1272549
273,-1271262
274,-1203234
275,-1264901
276,-1196277
277,-1124394
278,-1094164
279,-1230090
280,-1481563
281,-1430881
282,-1328379
283,-1357465
284,-1323347
285,-1241029
286,-1119344
287,-1123259
288,-1096206
289,-1017897
290,-1082468
291,-1028681
292,-1137957
293,-1063854
294,-1059507
295,-1177473
296,-1237681
297,-1264358
298,-1188917
299,-1224724
300,-1187182
301,-1145025
302,-1201466
303,-1256132
304,-1497526
305,-1422786
306,-1426990
307,-1373248
308,-1307364
309,-1235634
310,-1104759
311,-1153686
312,-1164747
313,-1035225
314,-1021492
315,-1053925
316,-1034533
317,-1118652
318,-1126698
319,-1151591
320,-1207097
321,-1248724
322,-1267544
323,-1167599
324,-1213821
325,-1170716
326,-1101548
327,-1265822
328,-1456687
329,-1451777
330,-1434303
331,-1402591
332,-1307604
333,-1263899
334,-1092905
335,-1179275
336,-1116901
337,-1098068
338,-1083681
339,-1015602
340,-1079291
341,-1123399
342,-1144054
343,-1129472
344,-1273274
345,-1202786
346,-1245408
347,-1160214
348,-1230601
349,-1126877
350,-1099509
351,-1188265
352,-1391458
353,-1427293
354,-1453426
355,-1354371
356,-1273537
357,-1247401
358,-1074610
359,-1160883
360,-1180834
361,-1061972
362,-1049531
363,-1059821
364,-1065310
365,-1137932
366,-1107019
367,-1115119
368,-1168275
369,-1235592
370,-1236803
371,-1212310
372,-1184059
373,-1147265
374,-1174638
375,-1175191
376,-1416325
377,-1502171
378,-1378229
379,-1405078
380,-1285231
381,-1238253
382,-1136849
383,-1168529
384,-1114412
385,-1061468
386,-996437
387,-1028460
388,-1044393
389,-1079213
390,-1138593
391,-1198986
392,-1286461
393,-1193210
394,-1156689
395,-1203796
396,-1232314
397,-1159659
398,-1096436
399,-1275426
400,-1410709
401,-1425808
402,-1448299
403,-1365969
404,-1371163
405,-1213011
406,-1182124
407,-1201119
408,-1156955
409,-1059943
410,-1051065
411,-1070615
412,-1043734
413,-1128012
414,-1105984
415,-1179032
416,-1168465
417,-1197161
418,-1254491
419,-1161539
420,-1159266
421,-1205716
422,-1114455
423,-1177911
424,-1493427
425,-1496639
426,-1382147
427,-1330837
428,-1246125
429,-1262750
430,-1163442
431,-1129501
432,-1162650
433,-1031582
434,-1034374
435,-1080069
436,-1091035
437,-1052032
438,-1072736
439,-1182306
440,-1219453
441,-1232223
442,-1260865
443,-1155611
444,-1247446
445,-1117567
446,-1174835
447,-1189647
448,-1443859
449,-1438692
450,-1363560
451,-1434712
452,-1362177
453,-1244587
454,-1178256
455,-1171763
456,-1117694
457,-1078899
458,-996694
459,-1066656
460,-1107264
461,-1057892
462,-1146513
463,-1123607
464,-1285751
465,-1183229
466,-1152147
467,-1200409
468,-1136937
469,-1120709
470,-1145742
471,-1221865
472,-1523033
473,-1446194
474,-1408351
475,-1327820
476,-1249141
477,-1287051
478,-1075553
479,-1204727
480,-1154029
481,-1099676
482,-1082740
483,-1070439
484,-1106448
485,-1079487
486,-1119410
487,-1107422
488,-1215187
489,-1202895
490,-1223516
491,-1242211
492,-1194940
493,-1122555
494,-1194730
495,-1192063
496,-1408926
497,-1477266
498,-1426990
499,-1345332
500,-1313589
501,-1178596
502,-1085831
503,-1172589
504,-1079955
505,-1086460
506,-1011718
507,-1029635
508,-1078377
509,-1059381
510,-1127100
511,-1188033
512,-1234786
513,-1260116
514,-1254070
515,-1231039
516,-1145049
517,-1122381
518,-1110193
519,-1221508
520,-1412966
521,-1503591
522,-1346404
523,-1429517
524,-1262766
525,-1170132
526,-1139253
527,-1138548
528,-1132023
529,-1072750
530,-1032103
531,-1033521
532,-1081713
533,-1086874
534,-1157590
535,-1165311
536,-1250951
537,-1209513
538,-1249752
539,-1158989
540,-1204143
541,-1148836
542,-1198461
543,-1251628
544,-1454101
545,-1497703
546,-1366599
547,-1415196
548,-1337740
549,-1283144
550,-1080768
551,-1178355
552,-1077705
553,-1022792
554,-1071763
555,-1049179
556,-1129919
557,-1098620
558,-1136961
559,-1165342
560,-1173474
561,-1228617
562,-1181638
563,-1186568
564,-1191992
565,-1161138
566,-1092315
567,-1264428
568,-1408687
569,-1399917
570,-1400792
571,-1408181
572,-1331820
573,-1241543
574,-1146836
575,-1142573
576,-1140877
577,-1102021
578,-1024656
579,-1075731
580,-1050602
581,-1138553
582,-1126937
583,-1101406
584,-1260011
585,-1203236
586,-1175034
587,-1166683
588,-1211582
589,-1156242
590,-1091595
591,-1218053
592,-1463432
593,-1434252
594,-1457280
595,-1432312
596,-1253312
597,-1284587
598,-1131013
599,-1135077
600,-1152999
601,-1040897
602,-1010929
603,-1096502
604,-1115275
605,-1137997
606,-1154252
607,-1101819
608,-1267565
609,-1179766
610,-1243659
611,-1217471
612,-1208367
613,-1193369
614,-1117070
615,-1197362
616,-1457894
617,-1442171
618,-1459957
619,-1337696
620,-1350919
621,-1240791
622,-1072370
623,-1174310
624,-1096316
625,-1065621
626,-994290
627,-1049069
628,-1120792
629,-1038832
630,-1100406
631,-1105840
632,-1275418
633,-1282566
634,-1205344
635,-1221090
636,-1195697
637,-1168698
638,-1165630
639,-1212436
640,-1514839
641,-1365315
642,-1436031
643,-1408104
644,-1304243
645,-1259366
646,-1076267
647,-1134738
648,-1071388
649,-1069876
650,-1052325
651,-1117147
652,-1038999
653,-1115132
654,-1062559
655,-1132797
656,-1216994
657,-1218252
658,-1193290
659,-1199815
660,-1132018
661,-1142298
662,-1124441
663,-1185411
664,-1426324
665,-1450959
666,-1402474
667,-1440765
668,-1308136
669,-1179548
670,-1080546
671,-1099454
672,-1132933
673,-1072341
674,-1017766
675,-1104582
676,-1135010
677,-1084755
678,-1108297
679,-1108325
680,-1274710
681,-1272597
682,-1166930
683,-1195515
684,-1228990
685,-1139181
686,-1202496
687,-1177128
688,-1473323
689,-1434046
690,-1400810
691,-1383327
692,-1317354
693,-1242975
694,-1125461
695,-1123480
696,-1133974
697,-1118668
698,-1040357
699,-1052213
700,-1089915
701,-1086880
702,-1156910
703,-1182127
704,-1270128
705,-1249224
706,-1226586
707,-1187734
708,-1179004
709,-1172845
710,-1188685
711,-1241313
712,-1431408
713,-1386600
714,-1348915
715,-1355833
716,-1359011
717,-1187589
718,-1152218
719,-1132606
720,-1127695
721,-1110021
722,-1077074
723,-1097840
724,-1135436
725,-1087620
726,-1152930
727,-1141955
728,-1250824
729,-1275928
730,-1221279
731,-1190021
732,-1134213
733,-1185558
734,-1175877
735,-1239566
736,-1463240
737,-1443614
738,-1459018
739,-1390766
740,-1279836
741,-1194703
742,-1162713
743,-1112452
744,-1125181
745,-1017447
746,-1052797
747,-1115994
748,-1096759
749,-1075123
750,-1180240
751,-1160911
752,-1247151
753,-1325015
754,-1290157
755,-1233269
756,-1259378
757,-1291294
758,-1263029
759,-1313353
760,-1400064
761,-1410084
762,-1408972
763,-1376107
764,-1282924
765,-1217686
766,-1194380
767,-1084253
768,-1093437
769,-1018645
770,-1103914
771,-1104835
772,-1147406
773,-1167875
774,-1127311
775,-1218205
776,-1319344
777,-1339143
778,-1293231
779,-1237674
780,-1236187
781,-1186201
782,-1271102
783,-1240066
784,-1412115
785,-1461423
786,-1386624
787,-1353708
788,-1343862
789,-1187943
790,-1108908
791,-1192848
792,-1145862
793,-1090166
794,-1046224
795,-1133042
796,-1111040
797,-1089025
798,-1145804
799,-1176642
800,-1219664
801,-1253820
802,-1286111
803,-1313999
804,-1226408
805,-1191601
806,-1167643
807,-1220217
808,-1432209
809,-1490405
810,-1414962
811,-1466095
812,-1276793
813,-1208470
814,-1180600
815,-1106692
816,-1138322
817,-1084435
818,-1038371
819,-1052631
820,-1100232
821,-1083220
822,-1148502
823,-1243560
824,-1332941
825,-1239736
826,-1328238
827,-1281671
828,-1277579
829,-1228957
830,-1264006
831,-1294546
832,-1414419
833,-1411472
834,-1478346
835,-1405463
836,-1361707
837,-1247668
838,-1115723
839,-1109055
840,-1119766
841,-1064668
842,-1019162
843,-1082281
844,-1142917
845,-1185567
846,-1194282
847,-1196970
848,-1311039
849,-1299862
850,-1232840
851,-1239183
852,-1314327
853,-1185555
854,-1168136
855,-1270081
856,-1519102
857,-1489466
858,-1371968
859,-1347898
860,-1298534
861,-1242333
862,-1116008
863,-1166143
864,-1117440
865,-1020788
866,-1043165
867,-1043427
868,-1109672
869,-1151882
870,-1191009
871,-1250045
872,-1294713
873,-1340799
874,-1324157
875,-1258396
876,-1282206
877,-1300388
878,-1166481
879,-1262379
880,-1496827
881,-1463059
882,-1404607
883,-1397618
884,-1372429
885,-1305073
886,-1119972
887,-1195350
888,-1073756
889,-1078745
890,-1025129
891,-1040127
892,-1113756
893,-1174593
894,-1206392
895,-1213542
896,-1342826
897,-1312794
898,-1307038
899,-1236970
900,-1303448
901,-1237573
902,-1263115
903,-1223645
904,-1429091
905,-1474774
906,-1470535
907,-1431323
908,-1346263
909,-1230783
910,-1158520
911,-1109154
912,-1148499
913,-1076338
914,-1050086
915,-1101956
916,-1105981
917,-1117221
918,-1224097
919,-1163872
920,-1283886
921,-1247659
922,-1270212
923,-1323289
924,-1270988
925,-1282534
926,-1215193
927,-1293249
928,-1474720
929,-1463573
930,-1465743
931,-1415681
932,-1321439
933,-1222629
934,-1099960
935,-1144288
936,-1127336
937,-1015800
938,-1100495
939,-1078936
940,-1105960
941,-1154714
942,-1148688
943,-1242937
944,-1311930
945,-1262755
946,-1308345
947,-1257792
948,-1261176
949,-1230202
950,-1162731
951,-1222651
952,-1403369
953,-1465633
954,-1359669
955,-1425911
956,-1347700
957,-1233114
958,-1190376
959,-1142704
960,-1077481
961,-1108963
962,-1027616
963,-1057301
964,-1073015
965,-1132164
966,-1205100
967,-1150788
968,-1311776
969,-1259860
970,-1324376
971,-1257811
972,-1252115
973,-1234312
974,-1191191
975,-1249211
976,-1391810
977,-1385935
978,-1363087
979,-1457915
980,-1345754
981,-1197503
982,-1167604
983,-1091126
984,-1138231
985,-1026533
986,-1009684
987,-1063379
988,-1065481
989,-1125063
990,-1221251
991,-1175388
992,-1281954
993,-1333398
994,-1252613
995,-1221589
996,-1303700
997,-1230407
998,-1165142
999,-1220893
1000,-1387490
1001,-1506608
1002,-1361100
1003,-1466026
1004,-1400026
1005,-1230093
1006,-1092279
1007,-1177520
1008,-1107299
1009,-1093155
1010,-1015514
1011,-1068386
1012,-1107653
1013,-1147596
1014,-1195413
1015,-1242127
1016,-1233446
1017,-1247122
1018,-1269789
1019,-1289925
1020,-1255657
1021,-1264857
1022,-1219390
1023,-1312014
1024,-1497191
1025,-1409611
1026,-1450594
1027,-1413689
1028,-1355408
1029,-1311971
1030,-1182600
1031,-1137646
1032,-1161464
1033,-1067227
1034,-1005592
1035,-1110119
1036,-1091089
1037,-1133382
1038,-1139774
1039,-1173039
1040,-1336659
1041,-1296624
1042,-1239158
1043,-1239494
1044,-1316129
1045,-1213013
1046,-1163137
1047,-1284391
1048,-1508208
1049,-1418134
1050,-1394830
1051,-1400349
1052,-1390343
1053,-1282407
1054,-1146879
1055,-1098604
1056,-1104941
1057,-1091236
1058,-1077573
1059,-1126288
1060,-1126525
1061,-1097522
1062,-1202972
1063,-1149091
1064,-1320340
1065,-1249773
1066,-1252878
1067,-1225416
1068,-1231750
1069,-1251529
1070,-1262711
1071,-1242449
1072,-1509137
1073,-1433752
1074,-1450955
1075,-1352026
1076,-1340685
1077,-1245929
1078,-1102109
1079,-1130301
1080,-1150738
1081,-1107379
1082,-1013341
1083,-1054008
1084,-1098621
1085,-1152139
1086,-1199272
1087,-1221415
1088,-1235710
1089,-1260396
1090,-1241752
1091,-1278101
1092,-1245688
1093,-1237308
1094,-1279290
1095,-1243019
1096,-1515549
1097,-1476697
1098,-1389757
1099,-1419210
1100,-1329741
1101,-1188425
1102,-1171898
1103,-1142911
1104,-1095149
1105,-1087916
1106,-1079077
1107,-1035018
1108,-1149097
1109,-1170108
1110,-1198862
1111,-1253824
1112,-1297051
1113,-1317789
1114,-1265661
1115,-1246382
1116,-1285684
1117,-1299869
1118,-1199370
1119,-1222810
1120,-1445255
1121,-1500780
1122,-1450271
1123,-1378705
1124,-1353881
1125,-1229351
1126,-1128663
1127,-1157387
1128,-1072897
1129,-1058246
1130,-1092886
1131,-1108446
1132,-1094956
1133,-1090424
1134,-1199710
1135,-1164569
1136,-1333357
1137,-1276616
1138,-1267085
1139,-1240336
1140,-1228382
1141,-1269664
1142,-1274358
1143,-1223352
1144,-1480845
1145,-1368145
1146,-1364876
1147,-1362803
1148,-1379427
1149,-1240316
1150,-1102469
1151,-1140607
1152,-1155489
1153,-1064534
1154,-1028796
1155,-1112641
1156,-1114698
1157,-1185260
1158,-1153804
1159,-1153399
1160,-1280432
1161,-1240176
1162,-1254852
1163,-1218760
1164,-1241192
1165,-1225281
1166,-1180287
1167,-1262210
1168,-1450565
1169,-1479834
1170,-1492960
1171,-1442864
1172,-1292839
1173,-1272993
1174,-1101248
1175,-1193102
1176,-1092548
1177,-1086996
1178,-1066180
1179,-1100674
1180,-1152720
1181,-1180944
1182,-1196679
1183,-1232534
1184,-1342109
1185,-1332114
1186,-1244672
1187,-1324136
1188,-1256748
1189,-1216766
1190,-1228682
1191,-1289518
1192,-1395764
1193,-1391908
1194,-1354408
1195,-1342558
1196,-1299633
1197,-1216583
1198,-1152058
1199,-1159701
1200,-1098177
1201,-1040579
1202,-1035846
1203,-1112170
1204,-1135410
1205,-1087388
1206,-1149804
1207,-1233104
1208,-1218882
1209,-1230774
1210,-1326823
1211,-1247723
1212,-1255554
1213,-1181826
1214,-1261017
1215,-1305897
1216,-1488607
1217,-1396907
1218,-1363197
1219,-1438829
1220,-1323852
1221,-1239333
1222,-1198801
1223,-1153601
1224,-1134157
1225,-1077850
1226,-1084427
1227,-1124144
1228,-1106891
1229,-1134671
1230,-1132523
1231,-1224760
1232,-1342464
1233,-1279482
1234,-1294937
1235,-1282768
1236,-1280456
1237,-1247490
1238,-1223503
1239,-1304768
1240,-1469401
1241,-1413477
1242,-1404283
1243,-1421443
1244,-1368196
1245,-1296082
1246,-1145795
1247,-1175402
1248,-1132255
1249,-1065836
1250,-1033171
1251,-1109751
1252,-1091567
1253,-1135775
1254,-1120321
1255,-1228481
1256,-1250066
1257,-1288703
1258,-1262203
1259,-1238211
1260,-1306931
1261,-1245438
1262,-1265999
1263,-1331477
1264,-1440882
1265,-1427281
1266,-1399886
1267,-1426684
1268,-1308622
1269,-1187623
1270,-1172735
1271,-1151845
1272,-1104489
1273,-1099938
1274,-1036962
1275,-1046646
1276,-1073520
1277,-1125526
1278,-1142555
1279,-1260124
1280,-1228931
1281,-1268537
1282,-1224114
1283,-1244680
1284,-1296522
1285,-1222123
1286,-1190003
1287,-1273538
1288,-1439330
1289,-1441587
1290,-1377692
1291,-1465379
1292,-1329370
1293,-1263670
1294,-1120467
1295,-1158256
1296,-1083208
1297,-1074049
1298,-1007601
1299,-1047725
1300,-1060242
1301,-1126306
1302,-1223557
1303,-1194991
1304,-1322488
1305,-1336241
1306,-1329281
1307,-1237703
1308,-1277984
1309,-1191101
1310,-1249969
1311,-1302744
1312,-1395084
1313,-1507364
1314,-1461220
1315,-1463816
1316,-1311463
1317,-1289055
1318,-1186515
1319,-1096846
1320,-1141852
1321,-1118308
1322,-1022560
1323,-1109221
1324,-1129527
1325,-1141259
1326,-1191242
1327,-1222507
1328,-1303022
1329,-1264923
1330,-1216984
1331,-1288826
1332,-1290894
1333,-1230047
1334,-1161225
1335,-1291398
1336,-1415063
1337,-1376719
1338,-1354739
1339,-1391227
1340,-1378451
1341,-1239340
1342,-1112955
1343,-1189343
1344,-1130575
1345,-1051404
1346,-1029920
1347,-1117681
1348,-1071343
1349,-1140038
1350,-1172889
1351,-1190258
1352,-1244475
1353,-1297936
1354,-1211791
1355,-1295855
1356,-1242844
1357,-1181318
1358,-1180667
1359,-1321414
1360,-1406936
1361,-1496039
1362,-1420614
1363,-1363833
1364,-1270406
1365,-1200130
1366,-1148584
1367,-1165972
1368,-1105218
1369,-1066092
1370,-1012089
1371,-1050762
1372,-1132966
1373,-1120551
1374,-1204641
1375,-1267797
1376,-1330270
1377,-1336109
1378,-1253679
1379,-1317431
1380,-1283163
1381,-1291199
1382,-1197755
1383,-1344668
1384,-1408808
1385,-1508106
1386,-1355337
1387,-1362963
1388,-1301351
1389,-1302878
1390,-1087094
1391,-1096338
1392,-1108559
1393,-1031997
1394,-1058969
1395,-1114167
1396,-1154877
1397,-1162731
1398,-1224687
1399,-1246152
1400,-1280975
1401,-1331512
1402,-1314857
1403,-1223821
1404,-1304190
1405,-1235196
1406,-1251657
1407,-1262056
1408,-1463624
1409,-1487676
1410,-1398113
1411,-1368486
1412,-1348351
1413,-1199142
1414,-1160333
1415,-1078815
1416,-1092597
1417,-1111537
1418,-1124247
1419,-1165361
1420,-1249204
1421,-1325130
1422,-1385955
1423,-1432237
1424,-1500657
1425,-1487099
1426,-1514265
1427,-1505683
1428,-1515925
1429,-1459526
1430,-1377203
1431,-1435710
1432,-1422731
1433,-1441044
1434,-1508239
1435,-1486985
1436,-1376162
1437,-1298263
1438,-1196607
1439,-1157361
1440,-1119126
1441,-1115458
1442,-1100324
1443,-1168712
1444,-1162238
1445,-1252879
1446,-1393763
1447,-1426317
1448,-1471872
1449,-1421758
1450,-1468149
1451,-1547849
1452,-1498982
1453,-1505640
1454,-1407196
1455,-1490719
1456,-1506387
1457,-1468336
1458,-1564753
1459,-1581030
1460,-1355540
1461,-1345932
1462,-1204829
1463,-1067967
1464,-1058705
1465,-1037923
1466,-1144812
1467,-1117174
1468,-1226659
1469,-1229274
1470,-1425574
1471,-1392898
1472,-1374412
1473,-1397591
1474,-1416539
1475,-1488507
1476,-1563051
1477,-1424019
1478,-1421206
1479,-1430827
1480,-1455306
1481,-1410743
1482,-1564444
1483,-1585013
1484,-1390473
1485,-1284737
1486,-1197586
1487,-1132024
1488,-1081005
1489,-1027159
1490,-1112005
1491,-1155914
1492,-1246668
1493,-1301531
1494,-1395749
1495,-1333959
1496,-1373993
1497,-1484944
1498,-1484342
1499,-1546564
1500,-1569779
1501,-1479034
1502,-1402277
1503,-1475085
1504,-1522487
1505,-1444175
1506,-1470858
1507,-1565333
1508,-1469488
1509,-1308843
1510,-1250601
1511,-1109958
1512,-1078356
1513,-1043976
1514,-1040346
1515,-1106115
1516,-1240244
1517,-1270448
1518,-1357366
1519,-1409593
1520,-1495953
1521,-1395746
1522,-1522557
1523,-1468875
1524,-1516150
1525,-1479551
1526,-1377009
1527,-1444214
1528,-1513395
1529,-1513690
1530,-1578152
1531,-1585881
1532,-1421434
1533,-1369425
1534,-1241074
1535,-1156759
1536,-1064176
1537,-1111416
1538,-1060067
1539,-1143358
1540,-1192841
1541,-1255497
1542,-1339873
1543,-1343086
1544,-1446208
1545,-1446051
1546,-1497452
1547,-1497448
1548,-1516023
1549,-1437818
1550,-1444661
1551,-1480182
1552,-1450583
1553,-1388570
1554,-1573926
1555,-1571513
1556,-1453289
1557,-1356574
1558,-1207230
1559,-1143991
1560,-1133937
1561,-1082489
1562,-1081433
1563,-1104901
1564,-1173187
1565,-1236719
1566,-1352092
1567,-1447819
1568,-1504207
1569,-1503111
1570,-1439995
1571,-1493912
1572,-1552589
1573,-1406552
1574,-1375959
1575,-1505469
1576,-1498718
1577,-1418669
1578,-1471943
1579,-1483297
1580,-1443925
1581,-1358466
1582,-1180836
1583,-1083354
1584,-1113136
1585,-1058903
1586,-1119084
1587,-1142290
1588,-1178132
1589,-1263553
1590,-1400433
1591,-1418658
1592,-1476271
1593,-1525278
1594,-1440890
1595,-1471881
1596,-1435625
1597,-1428581
1598,-1445981
1599,-1488497
1600,-1408528
1601,-1483666
1602,-1451337
1603,-1503009
1604,-1424819
1605,-1279121
1606,-1150832
1607,-1105402
1608,-1157238
1609,-1109665
1610,-1065875
1611,-1152768
1612,-1243354
1613,-1293649
1614,-1429173
1615,-1379826
1616,-1397006
1617,-1420278
1618,-1517799
1619,-1557730
1620,-1467775
1621,-1523504
1622,-1408624
1623,-1490728
1624,-1481116
1625,-1390491
1626,-1542793
1627,-1531869
1628,-1374481
1629,-1309272
1630,-1248910
1631,-1071934
1632,-1106698
1633,-1069141
1634,-1056395
1635,-1127858
1636,-1233729
1637,-1312303
1638,-1397396
1639,-1330569
1640,-1394075
1641,-1475013
1642,-1540327
1643,-1543216
1644,-1556246
1645,-1517132
1646,-1470742
1647,-1457617
1648,-1432605
1649,-1454404
1650,-1441244
1651,-1583367
1652,-1477712
1653,-1302824
1654,-1192137
1655,-1145935
1656,-1080119
1657,-1048653
1658,-1049579
1659,-1090945
1660,-1164517
1661,-1216847
1662,-1415106
1663,-1386642
1664,-1441952
1665,-1424398
1666,-1452919
1667,-1512117
1668,-1554288
1669,-1479987
1670,-1445957
1671,-1442793
1672,-1411180
1673,-1453403
1674,-1464927
1675,-1550478
1676,-1404027
1677,-1284293
1678,-1235922
1679,-1129940
1680,-1079311
1681,-1093549
1682,-1128072
1683,-1079839
1684,-1178784
1685,-1273980
1686,-1379020
1687,-1327836
1688,-1382946
1689,-1528113
1690,-1542906
1691,-1554768
1692,-1487737
1693,-1394045
1694,-1506547
1695,-1466949
1696,-1488693
1697,-1491265
1698,-1514263
1699,-1502893
1700,-1459920
1701,-1323155
1702,-1243820
1703,-1167303
1704,-1133210
1705,-1083888
1706,-1090680
1707,-1173688
1708,-1255960
1709,-1327206
1710,-1402090
1711,-1390732
1712,-1464221
1713,-1448721
1714,-1521025
1715,-1503691
1716,-1560080
1717,-1503932
1718,-1381346
1719,-1467487
1720,-1544357
1721,-1422097
1722,-1439003
1723,-1517493
1724,-1366062
1725,-1332881
1726,-1159115
1727,-1100547
1728,-1138168
1729,-1065406
1730,-1060999
1731,-1110201
1732,-1253163
1733,-1250353
1734,-1317500
1735,-1439250
1736,-1402211
1737,-1443879
1738,-1521391
1739,-1531155
1740,-1487427
1741,-1450059
1742,-1435639
1743,-1374504
1744,-1407701
1745,-1473161
1746,-1557518
1747,-1456126
1748,-1409587
1749,-1312275
1750,-1219005
1751,-1077783
1752,-1112560
1753,-1057196
1754,-1055955
1755,-1103483
1756,-1224180
1757,-1285016
1758,-1369758
1759,-1427329
1760,-1468116
1761,-1457367
1762,-1419447
1763,-1546040
1764,-1466923
1765,-1459979
1766,-1498402
1767,-1471555
1768,-1515038
1769,-1484263
1770,-1546212
1771,-1503236
1772,-1354615
1773,-1376235
1774,-1160291
1775,-1074434
1776,-1118865
1777,-1082024
1778,-1078387
1779,-1111512
1780,-1205812
1781,-1271512
1782,-1404286
1783,-1348056
1784,-1416283
1785,-1430433
1786,-1424465
1787,-1450057
1788,-1452648
1789,-1404012
1790,-1469931
1791,-1484318
1792,-1410851
1793,-1380876
1794,-1582822
1795,-1587840
1796,-1430890
1797,-1299132
1798,-1194449
1799,-1147940
1800,-1066810
1801,-1102600
1802,-1086226
1803,-1185746
1804,-1152589
1805,-1311814
1806,-1376769
1807,-1377116
1808,-1497953
1809,-1436136
1810,-1480817
1811,-1455447
1812,-1552937
1813,-1524524
1814,-1506887
1815,-1405951
1816,-1447396
1817,-1444162
1818,-1578021
1819,-1566025
1820,-1465721
1821,-1285389
1822,-1206858
1823,-1131688
1824,-1072037
1825,-1092314
1826,-1077363
1827,-1129612
1828,-1198875
1829,-1299872
1830,-1433668
1831,-1440828
1832,-1496971
1833,-1445119
1834,-1492284
1835,-1535765
1836,-1510731
1837,-1466831
1838,-1510469
1839,-1503884
1840,-1489323
1841,-1441987
1842,-1494474
1843,-1471851
1844,-1450704
1845,-1290772
1846,-1203799
1847,-1143848
1848,-1134134
1849,-1026767
1850,-1135123
1851,-1147550
1852,-1174093
1853,-1255153
1854,-1336682
1855,-1389943
1856,-1373989
1857,-1486773
1858,-1420438
1859,-1546111
1860,-1539550
1861,-1407364
1862,-1429039
1863,-1387667
1864,-1530772
1865,-1405720
1866,-1547615
1867,-1471434
1868,-1396424
1869,-1279935
1870,-1189495
1871,-1079998
1872,-1112745
1873,-1104690
